epoch,avg_loss,accuracy
1,2.51021453,0.590909
2,2.18315211,0.795455
3,1.89654508,0.806818
4,1.65274606,0.818182
5,1.44950229,0.818182
6,1.28165792,0.818182
7,1.14327588,0.818182
8,1.02894487,0.818182
9,0.93417427,0.818182
10,0.85533311,0.818182
11,0.78948314,0.818182
12,0.73423484,0.818182
13,0.68764227,0.818182
14,0.64812419,0.818182
15,0.61440024,0.818182
16,0.58543682,0.818182
17,0.56040095,0.818182
18,0.53862137,0.818182
19,0.51955626,0.818182
20,0.50276712,0.818182
21,0.48789768,0.818182
22,0.47465719,0.818182
23,0.46280713,0.818182
24,0.45215085,0.818182
25,0.44252526,0.818182
26,0.43379438,0.818182
27,0.42584419,0.818182
28,0.41857854,0.818182
29,0.41191597,0.818182
30,0.40578702,0.818182
31,0.40013226,0.818182
32,0.39490050,0.818182
33,0.39004752,0.818182
34,0.38553490,0.818182
35,0.38132915,0.818182
36,0.37740092,0.818182
37,0.37372444,0.818182
38,0.37027696,0.818182
39,0.36703834,0.818182
40,0.36399069,0.818182
41,0.36111808,0.818182
42,0.35840627,0.818182
43,0.35584247,0.818182
44,0.35341523,0.818182
45,0.35111419,0.818182
46,0.34893002,0.818182
47,0.34685427,0.818182
48,0.34487926,0.818182
49,0.34299801,0.818182
50,0.34120416,0.818182
